2026-06-28 18:54:56 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:54:56 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:07:55 | INFO     | sysadmin_toolkit.config.config_manager | Konfiguration erfolgreich geladen aus C:\Elias\VS Code\my big portfolio\config\user_config.json
2026-06-28 19:07:56 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:07:56 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:07:56 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:07:56 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:07:56 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:07:56 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:08:02 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:08:02 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:08:02 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:08:07 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:08:07 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:08:07 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:08:12 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:08:13 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:08:13 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:08:18 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:08:18 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:08:18 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:08:23 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 19:08:24 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 19:08:24 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 19:08:29 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
